,brand,average_speed,avg_daily_charges,fatigue_driving_ratio,late_night_trip_ratio,avg_late_night_trip_mileage,high_temp_driving_ratio,battery_type_lfp,initial_battery_soc,avg_charge_duration,insurance_commercial_third_party,insurance_compulsory_third_party,average_loss
0,品牌C,61.88970284118471,1,0.08026403123529297,0.10274157104306098,2.5582753222737953,0.24986807846616882,0,78.88138946922687,4263.952771286724,1,0,14.215958856382
1,品牌D,52.165781980647225,0,0.09972378999036027,0.057636905191905896,0.0,0.037526672950921054,0,64.547553050765,22225.941611840964,1,0,20.06523323031428
2,品牌A,38.571656977179664,0,0.0030026005329392815,0.0012928715579421102,24.600086471604136,0.03893488971678338,1,94.32167085734409,11613.844561320313,0,0,4.440539379420413
3,品牌C,68.82770118241692,1,0.0897365865790932,0.09924784438016279,15.511764187235238,0.16704550808349225,0,50.23746845130273,23666.764686385122,1,0,40.251690566422425
4,品牌C,61.083870353232754,1,0.06226305335986581,0.05712519771244862,0.0,0.28391359600751126,1,57.094064461854245,14479.6671608398,1,1,14.663906656647772
5,品牌D,29.757016360693477,3,0.09733826191648212,0.14692166014210703,0.0,0.12449932751122628,0,27.081785217178272,15015.552140915088,1,0,29.776033291173523
6,品牌A,74.65563106963054,1,0.046500951752642766,0.004789253054096699,0.0,0.09808263007640848,0,68.71992888415429,16524.64158324126,0,1,9.893953321073056
7,品牌A,69.35223457539014,0,0.08473879305713738,0.11696556226115817,0.0,0.18200679695936575,1,43.056957475848485,21568.392700652617,0,0,69.01042345255783
8,品牌C,76.98799479751544,0,0.006239406859827723,0.1882948475012131,0.0,0.27913458016350934,0,32.82472316124551,10492.272218908618,0,1,12.981317053430109
9,品牌B,63.543170503301596,2,0.033527905007829574,0.0348818534222999,6.664212904108657,0.2510783498533871,0,63.56250343236064,6664.0012082448775,0,0,38.34075415651208
10,品牌C,56.80491175614739,1,0.006701653775120997,0.09432989815011908,0.0,0.29864508321996597,0,62.58482107039285,17612.644846824827,1,1,18.603370756988358
11,品牌C,45.09458217743713,1,0.09753431334790706,0.018284398363427636,0.0,0.006770574960713127,1,26.069731297923802,11839.83610571703,1,0,12.181324058904643
12,品牌C,75.9637090012408,0,0.08169739072718368,0.12513638245227052,0.0,0.03385744341382867,0,75.85723627955782,14750.781104434542,0,0,11.525569036168427
13,品牌C,71.9638333700245,1,0.08525474212459705,0.11010633611924513,0.0,0.1828403290099866,0,69.90177525206823,19903.0570501001,1,0,11.334659513270111
14,品牌D,22.713120206371364,0,0.09379652314338943,0.08147310484256648,0.0,0.2461729318001549,0,35.121382619719775,16051.96867676002,1,0,16.595401940824125
15,品牌A,21.58201846983512,0,0.008510348611978536,0.10427540429474824,0.0,0.08557330269202996,1,57.55478897232351,19231.02619094124,0,0,4.9084506146970845
16,品牌D,42.58780201268297,2,0.03855975925133334,0.17931493169380205,0.0,0.07176332641026563,1,77.6258333182848,17313.840053263422,0,1,9.21408963053238
